Company,URL,Company Description,All Investors,Total Funding,Sector,Industry,Sub-Industry,Country,State,City,Phone,Email,VC Backed,Exit Round,Exit Date,Last Funding Round,Last Funding Date,Last Funding Amount,Last Funding Simplified Round,Last Funding Investors,Min Valuation,Max Valuation,Min Price/Sales Ratio,Max Price/Sales Ratio,Continent,Private Collections,Expert Collections,Twitter Score,# Twitter Followers,Twitter Engagement,Followers to Following,Twitter Followers Growth,Twitter Mentions Growth,Twitter Handle
Nevro,http://www.nevro.com,"Nevro is a global medical device company focused on providing products that improve the quality of life of patients suffering from debilitating chronic pain. Nevro has developed and commercialized the Senza spinal cord stimulation (SCS) system, an evidence-based neuromodulation platform for the treatment of chronic pain.",Aberdare Ventures;Accuitive Medical Ventures;Bay City Capital;Covidien Ventures;Johnson & Johnson Innovation;Mayo Clinic Ventures;MPM Capital;New Enterprise Associates;Novo Ventures;Public;Three Arch Partners;Venturi Group,133.5,Healthcare,Medical Devices & Equipment,Therapeutic Devices,United States,California,Redwood City,650-251-0005,info@nevrocorp.com,Yes,IPO,2014/11/06,Series C,2013/03/07,48,Series C,Mayo Clinic Ventures;Bay City Capital;New Enterprise Associates;Novo Ventures;Accuitive Medical Ventures;MPM Capital;Johnson & Johnson Innovation;Covidien Ventures;Three Arch Partners,423.77,423.77,29.86398872,29.86398872,North America,,Medical Devices;Smart Money VCs;Neuroscience Startups,,,,,,,
New Relic,http://www.newrelic.com,"New Relic is a software analytics company that makes sense of billions of data points about millions of applications in real time. The company's SaaS-based solution provides one powerful interface for web and native mobile applications and consolidates the performance monitoring data for any chosen technology in an environment. Tens of thousands of customers use our cloud solution every day, looking to optimize more than 200 billion data points for three million application instances. When the brand and customer experience depend on the performance of modern software, New Relic can provide valuable insight into the overall environment.",Allen & Company;Benchmark;BlackRock;DAG Ventures;Dragoneer Investment Group;Four Rivers Group;Insight Partners;Passport Capital;Public;T. Rowe Price;Tenaya Capital;Trinity Ventures;Wellington Management,214.5,Internet,Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",United States,California,San Francisco,650-777-7600,support@newrelic.com,Yes,IPO,2014/12/12,Series F,2014/04/29,100,Series F,Passport Capital;T. Rowe Price;BlackRock;Wellington Management,1059.56,1059.56,22.07416667,22.07416667,North America,,Smart Money VCs;Development & Operations (DevOps);Sequoia Microservices Ecosystem;Cloud Computing;Enterprise SaaS,,2847,0,1423.5,,,@newrelicstatus
NexCen Brands,http://www.nexcenbrands.com,"NexCen Brands is a Retail (non-internet/mobile)/Apparel & Accessories company based in New York, New York. NexCen Brands' investors include Pyramid Ventures and Telcom Ventures.",3Com;Public;Pyramid Technology Ventures;Telcom Ventures;Undisclosed Investors,8.88,Retail (non-internet/mobile),Apparel & Accessories,,United States,New York,New York,212-277-1100,,Yes,IPO,2000/09/25,Unattributed VC - II,1998/10/12,6,Venture Capital,3Com,,,,,North America,,,,,,,,,
Next Level Communications,,Next Level Communications offers broadband access platforms,Public;Undisclosed Venture Investors,10,Mobile & Telecommunications,Telecom Services,Data & Broadband,United States,California,Rohnert Park,707-584-6820,,Yes,IPO,2000/06/09,Series A,1998/01/01,10,Series A,Undisclosed Venture Investors,,,,,North America,,,,,,,,,
NextCard,,"NextCard was an online credit card business targeting the consumer market. The company used the Internet to acquire customers and provide immediate approval to qualified applicants, and was a to offer instant online approval and photo credit cards.",Brentwood Associates;Emergence Capital Partners;Forrest Binkley & Brown;Highland Capital Partners;Kleiner Perkins Caufield & Byers;Moore Capital Management;Public;Sequoia Capital;St. Paul Venture Capital;Trinity Ventures;Undisclosed Venture Investors,54.93,Financial,Payments (non-internet/mobile),,United States,California,San Francisco,415-836-9700,,Yes,IPO,1999/05/15,Unattributed VC,1998/11/09,38.41,Venture Capital,Brentwood Associates;Trinity Ventures;Kleiner Perkins Caufield & Byers;Moore Capital Management;St. Paul Venture Capital;Sequoia Capital;Forrest Binkley & Brown;Highland Capital Partners,873.34,873.34,,,North America,,Fin tech ( Fintech );Smart Money VCs,,,,,,,
Nextel Partners,http://www.nextelpartners.com,"Nextel Partners was a Mobile & Telecommunications/Telecom Services/Wireless company based in Kirkland, Washington.  Nextel Partners was acquired in 2002.",Cascade Investment;NeoWorld;Public;Undisclosed Venture Investors,132.74,Mobile & Telecommunications,Telecom Services,Wireless,United States,Washington,Kirkland,425-576-3600,,Yes,IPO,2003/11/11,Series B - II,1999/07/01,27.86,Series B,Undisclosed Venture Investors,25.84,25.84,,,North America,,,,,,,,,
NightHawk Radiology Holdings,http://www.nighthawkrad.net,NightHawk Radiology Holdings is a Healthcare/Medical Facilities & Services company. NightHawk Radiology Holdings has received investment from Summit Partners.,Public;Summit Partners,13,Healthcare,Medical Facilities & Services,,United States,Idaho,Coeur D Alene,208-676-8321,,Yes,IPO,2006/02/20,Unattributed VC,2004/03/09,13,Venture Capital,Summit Partners,,,,,North America,,,,,,,,,
North American Scientific,http://www.nasmedical.com,"North American Scientific is a Healthcare/Medical Devices & Equipment company based in Chatsworth, California. North American Scientific's investors include Three Arch Partners, SF Capital Partners, Aphelion Capital, Palo Alto Investors, SDS Capital Partners, Paramount BioCapital Asset Management, Stiassni Capital, Iroquois Capital and Enable Capital Management.",Aphelion Capital;CHL Medical Partners;Enable Capital Management;Iroquois Capital Group;Palo Alto Investors;Paramount BioCapital Asset Management;Public;SDS Capital Partners;SF Capital Group;Stiassni Capital;Three Arch Partners,25,Healthcare,Medical Devices & Equipment,,United States,California,Chatsworth,818-734-8600,,Yes,IPO,2006/08/24,Unattributed VC - II,2007/12/05,1,Venture Capital,Three Arch Partners,,,,,North America,,Medical Devices,,,,,,,
Northstar Neuroscience,http://www.northstarneuro.com,"Northstar Neuroscience is a medical device pioneering the development of cortical stimulation therapies to treat neurological injuries, disorders and diseases.",AEA Investors;Canaan Partners;Channel Medical Partners;Domain Associates;Flare Capital Partners;Johnson & Johnson;Mayfield Fund;NMT Management AG - New Medical Technologies;Public;SEB Venture Capital;Spring Ridge Ventures;TAT Capital Partners,36.8,Healthcare,Medical Devices & Equipment,,United States,Washington,Seattle,206-902-1997,info@northstarneuro.com,Yes,IPO,2006/05/05,Unattributed VC,2002/05/22,36.8,Venture Capital,AEA Investors;Channel Medical Partners;Canaan Partners;TAT Capital Partners;Flare Capital Partners;Domain Associates;Spring Ridge Ventures;SEB Venture Capital;Johnson & Johnson;Mayfield Fund;NMT Management AG - New Medical Technologies,362.69,362.69,,,North America,,Medical Devices;Neuroscience Startups,,,,,,,
Northwest Biotherapeutics,http://www.nwbio.com,"Northwest Biotherapeutics is a Healthcare/Biotechnology company based in Bethesda, Maryland. Northwest Biotherapeutics' investors include Nite Capital Management, NCP Advisors, C.E. Unterberg, Iroquois Capital, Alpha Capital Partners, Downsview Capital, Ellis International, Comtech Global Investment, Southridge Capital Management, Highbridge Capital Management, Bluegrass Growth Fund Partners, Bristol Capital Advisors and Ballyshannon Partners.",Alpha Capital Partners;Ballyshannon Partners;Bluegrass Growth Fund Partners;Bristol Capital Advisors;C.E. Unterberg;Comtech Global Investment;Downsview Capital;Ellis International;Highbridge Capital Management;Iroquois Capital Group;NCP Advisors;Nite Capital Management;Public;Southridge Capital Management;Toucan Capital,7.33,Healthcare,Biotechnology,,United States,Maryland,Bethesda,240-497-9024,,Yes,IPO,2012/12/10,Unattributed VC - III,2008/12/05,0.5,Venture Capital,Toucan Capital,,,,,North America,,,,,,,,,
Novacea,,"Novacea is a biopharmaceutical company that had been focused on in-licensing, developing and commercializing novel cancer therapies. Novacea has two product candidates, including AsentarTM, which had been in a Phase 3 clinical trial for androgen-independent prostate cancer, and AQ4N, a hypoxia-activated prodrug. There are currently no clinical trials planned or underway for either candidate.",Apax Partners;Domain Associates;New Enterprise Associates;ProQuest Investments;Public;Sofinnova Ventures;Undisclosed Venture Investors;Versant Ventures,100.84,Healthcare,Biotechnology,,United States,California,South San Francisco,650-228-1800,info@novacea.com,Yes,IPO,2006/05/10,Unattributed VC,2005/12/10,59.84,Venture Capital,New Enterprise Associates;ProQuest Investments;Versant Ventures;Sofinnova Ventures;Domain Associates;Apax Partners,15.464975,15.464975,,,North America,,Smart Money VCs,,,,,,,
Novan Therapeutics,http://www.novan.com,"Novan is a clinical-stage drug development company aiming to commercialize nitric oxide-based products in selected therapeutic areas. The Company's core technologies solve the delivery issues with nitric oxide by storing the gaseous species as an engineered molecule that allows for the ""timed release"" of nitric oxide in short- or long-term healthcare applications. By storing nitric oxide as part of an engineered molecule, the characteristics of the framework can be controlled to tune the level of nitric oxide storage, the rate of nitric oxide release and the molecule size to target nitric oxide delivery. The result is stabilized, drug-able nitric oxide.",Hatteras Venture Partners;Malin Corporation;Neal Hunter;Public,105.34,Healthcare,Drug Development,,United States,North Carolina,Durham,919-485-8080,,Yes,IPO,2016/09/21,Series D - III,2015/12/17,32.84,Series D,Hatteras Venture Partners;Malin Corporation,164.71,164.71,,,North America,,Pharma Startups,,,,,,,
Novatel Wireless,http://www.novatelwireless.com,"Novatel Wireless (NASDAQ: MIFI) is a provider of solutions for the Internet of Things (IoT), including software-as-a-service (SaaS) solutions for the fleet telematics market. The Company's product lines include the CTrack fleet and vehicle telematics platform, Feeney Wireless (FW) IoT consulting services, appliances and device management solutions, along with Novatel Wireless's MiFI intelligent mobile hotspots and modems, embedded modules, mobile tracking solutions, and asset tracking and monitoring solutions.",Advent International;Aether Capital;Alki Capital Management;Alpha Capital Partners;Argo Global Capital;AWM Investment Company;Banca del Gottardo S.A.;Bay Investments;BMO Capital;Bristol Capital Advisors;Capital Group Companies;Cornerstone Equity Investors;Craig-Hallum Capital Group;Downsview Capital;Gateway Partners;Gemini Investors;Golden Gate Development & Investment;Gruber & McBaine Capital Management;Highbridge Capital Management;Ironside Ventures;Iroquois Capital Group;Kirkland & Ellis LLP;Lynch Foundation;Mainfield Enterprises;NexCen Brands;Omicron Capital;Orrick;PEF Advisors;Pequot Capital Mangement;PS Capital Ventures;Public;R S Growth Group;Randolph Street Partners;RS Internet Age Fund;RS Investments;Spinner Asset Management;Stonestreet;Trinity Capital Investment Group;Undisclosed Venture Investors;Ventures West;WEC Asset Management;Working Ventures,134.97,Mobile & Telecommunications,Telecom Services,,United States,California,San Diego,858-812-3400,,Yes,IPO,2004/03/24,Unattributed VC - VIII,2004/01/15,8,Venture Capital,Gruber & McBaine Capital Management;Craig-Hallum Capital Group;Mainfield Enterprises;Highbridge Capital Management;Banca del Gottardo S.A.;Omicron Capital;Downsview Capital;Alki Capital Management;Iroquois Capital Group,20.819875,20.819875,,,North America,,,,26155,2,47.04,16.00%,100.00%,@MiFi
NuVasive,http://www.nuvasive.com,"NuVasive is an innovative global medical device company that is transforming spine surgery with minimally disruptive surgical products and procedurally-integrated solutions for the spine. NuVasive offers a comprehensive spine portfolio of more than 90 unique products developed to improve spine surgery and patient outcomes. The Company's principal procedural solution is its Maximum Access Surgery, or MAS, platform for lateral spine fusion. MAS was designed to provide safe, reproducible, and clinically proven outcomes, and is a highly differentiated solution with fully integrated neuromonitoring, customizable exposure, and a broad offering of application-specific implants and fixation devices designed to address a variety of pathologies.",Adams Street Partners;CDP Capital;Domain Associates;Enterprise Partners Venture Capital;Integral Capital Partners;Johnson & Johnson;Kleiner Perkins Caufield & Byers;Pappas Ventures;Public;Undisclosed Venture Investors;William Blair & Company,74.38,Healthcare,Medical Devices & Equipment,Surgical Devices,United States,California,San Diego,858-909-1800,customerservice@nuvasive.com,Yes,IPO,2006/02/09,Unattributed VC - II,2003/07/08,25.04,Venture Capital,Enterprise Partners Venture Capital;Pappas Ventures;Integral Capital Partners;William Blair & Company;Domain Associates;CDP Capital;Johnson & Johnson;Kleiner Perkins Caufield & Byers,45.904553,45.904553,0.056602408,0.056602408,North America,,Medical Devices;Smart Money VCs,,1278,0.5,3.75,-52.00%,-40.00%,@NuVasiveInc
Nuance Communications,http://www.nuance.com,"Nuance Communications develops, markets and supports a voice interface software platform that makes the information and services of enterprises, telecommunications networks and the Internet accessible from any telephone.",Alloy Ventures;Asset Management Ventures;Attractor Investment Management;Cisco Systems;F-Prime Capital;Goldman Sachs;Intel Capital;Mayfield Fund;Morgenthaler Ventures;Motorola;Motorola Solutions Venture Capital;Northern Neck Investors;NTT Software;Omron;Public;Rembrandt Venture Partners;SAIC;SF Capital Group;Siebel Systems;SRI International;Sun Microsystems;TransCosmos;Undisclosed Investors;Undisclosed Venture Investors;US Venture Partners;Visa;VOICE.TRUST AG;Voyager Capital;Warburg Pincus,69.46,Mobile & Telecommunications,Mobile Software & Services,"Scientific, Engineering",United States,California,Menlo Park,,nuance@globalresultspr.com,Yes,IPO,2000/04/21,Series D,1999/11/09,40.5,Series D,Omron;SRI International;Attractor Investment Management;Motorola;Intel Capital;VOICE.TRUST AG;Mayfield Fund;NTT Software;Sun Microsystems;Cisco Systems;Alloy Ventures;Visa;US Venture Partners;Siebel Systems;TransCosmos;SAIC;Goldman Sachs;Morgenthaler Ventures,466.92,466.92,,,North America,,Auto Tech;Connected Car Tech,,,,,,,
Nutanix,http://www.nutanix.com,"Nutanix delivers web-scale IT infrastructure to medium and large enterprises with its software-driven Virtual Computing Platform, natively converging compute and storage into a single solution to drive unprecedented simplicity in the datacenter. Customers can start with a few servers and scale to thousands, with predictable performance and economics. With a patented elastic data fabric and consumer-grade management, Nutanix is the blueprint for application-optimized and policy-driven infrastructure.",Accelerator Ventures;Battery Ventures;Blumberg Capital;Dell Technologies Capital;Fidelity Investments;Goldman Sachs;Greenspring Associates;Hartford Funds Management Group;InstantScale Ventures;Khosla Ventures;Leslie Ventures;Lightspeed Venture Partners;Morgan Stanley Expansion Capital;Public;Riverwood Capital;Sapphire Ventures;Undisclosed Investors;Wellington Management,420.17,Computer Hardware & Services,IT Services,Virtualization,United States,California,San Jose,408-216-8360,,Yes,IPO,2016/09/30,Unattributed,2016/09/19,21.06,Undisclosed,Undisclosed Investors,2180,2180,4.899977523,4.899977523,North America,,Smart Money VCs;Cloud Computing,,63261,0.89,8.35,-46.00%,-13.00%,@nutanix
ORBCOMM,http://www.orbcomm.com,"ORBCOMM is a global satellite data communications company, specializing in Machine-to- Machine (M2M) communications and solutions. By means of a global network of low-earth orbit (LEO) satellites and accompanying ground infrastructure, ORBCOMM's low-cost and reliable two-way data communication services track, monitor and control mobile and fixed assets in our core markets: commercial transportation; heavy equipment; industrial fixed assets; marine; and homeland security. ORBCOMM based products are installed on trucks, containers, marine vessels, locomotives, backhoes, pipelines, oil wells, utility meters, storage tanks and other assets.    ORBCOMM is a provider of tracking, monitoring and control services for the refrigerated transport market. Under its ReeferTrak, GenTrak, and CargoWatch brands, the company provides customers with the ability to proactively monitor, manage and remotely control refrigerated transport assets. Additionally, ORBCOMM provides Automatic Identification System (AIS) data services for vessel tracking and to improve maritime safety to government and commercial customers worldwide.",Bukfenc;Centripetal Capital Partners;Investment Partners of Orlando;MH Equity Investors;Nakoma Investments Llc;Northwood Ventures;OHB SE;Public;Ridgewood Capital;Sagamore Hill Capital Management;SES;SK Partners;Torch Hill Investment Partners;Undisclosed Venture Investors,145.29,Mobile & Telecommunications,Telecom Services,Cable & Satellite,United States,New Jersey,Rochelle Park,703-433-6300,customer.service@orbcomm.com,Yes,IPO,2007/05/07,Unattributed VC - III,2007/03/09,114.08,Venture Capital,Northwood Ventures;Nakoma Investments Llc;OHB SE;Ridgewood Capital;Bukfenc;SK Partners;Torch Hill Investment Partners;MH Equity Investors;Investment Partners of Orlando,,,,,North America,,Mobile World Congress 2016;Supply Chain & Logistics Tech;Oil & Gas Tech,,4368,0.06,5.37,40.00%,-46.00%,@ORBCOMM_Inc
OXIS International,http://www.oxis.com,"OXIS International is a Healthcare/Pharmaceuticals / Drugs company based in Beverly Hills, California. OXIS International's investors include Highbridge Capital Management, Nite Capital Management, Bristol Capital Advisors, TCMP3 Capital, Vintage Filings, Xmark Opportunity Partners, Silverback Asset Management, Silverback Master, SF Capital Partners, Omicron Capital, R & R Biotech Partners, Downsview Capital, Cowen Group, Xmark Asset Management and Xmark Funds.",Bristol Capital Advisors;Cowen;Downsview Capital;Highbridge Capital Management;Nite Capital Management;Omicron Capital;Public;R & R Biotech Partners;SF Capital Group;Silverback Asset Management;Silverback Master;TCMP3 Capital;Vintage Filings;Xmark Asset Management;Xmark Funds;Xmark Opportunity Partners,6.5,Healthcare,Pharmaceuticals / Drugs,,United States,California,Beverly Hills,310-860-5184,,Yes,IPO,2005/05/13,Unattributed VC,2005/01/17,6.5,Venture Capital,SF Capital Group;R & R Biotech Partners;Xmark Funds;Cowen;Nite Capital Management;Highbridge Capital Management;Vintage Filings;Silverback Master;Xmark Opportunity Partners;Bristol Capital Advisors;TCMP3 Capital;Silverback Asset Management;Xmark Asset Management;Omicron Capital;Downsview Capital,,,,,North America,,Pharma Startups,,113,0,3.14,0.00%,,@tradedotcom
Obalon Therapeutics,http://www.obalon.com,"Obalon Therapeutics is developing an orally available intragastric balloon for the treatment of obesity. The Obalon Gastric Balloon is intended to help people lose weight by occupying space in the stomach to help them feel fuller, and eat less. A capsule containing the balloon with a thin tube attached is simply swallowed. The balloon is inflated and the tube removed, leaving only the balloon. No anesthesia or endoscopy is required for placement and up to three balloons can be placed to help weight loss over the 12-week treatment period. At the end of the period, the balloons are removed in a short endoscopic procedure.",Adams Capital Management;Citigroup;Domain Associates;Fayez Sarofim & Co.;InterWest Partners;Okapi Venture Capital;Public;Square 1 Bank,86.05,Healthcare,Medical Devices & Equipment,,United States,California,San Diego,512-857-7000,,Yes,IPO,2016/10/06,Debt - II,2015/01/14,10,Debt,Square 1 Bank,239.3,239.3,130.0543478,130.0543478,North America,,Medical Devices,,,,,,,
Ocular Therapeutix,http://www.ocutx.com,"Ocular Therapeutix, formerly I-Therapeutix, is focused on the development and commercialization of ophthalmic therapeutic products using its hydrogel technology. Ocular Therapeutix is focusing on development of drug-eluting punctum plugs for treatment of glaucoma and post-operative inflammation and pain, injectable depots for back-of-the-eye diseases, and ReSure Sealant for sealing clear corneal incisions following lens implantation surgery.",Ascension Ventures;Baxter Ventures;Pinnacle Ventures;Polaris Partners;Public;SPARTA Capital Partners;SV Health Investors;Versant Ventures,53.3,Healthcare,Biotechnology,,United States,Massachusetts,Bedford,781-357-4000,info@ocutx.com,Yes,IPO,2014/07/25,Series E,2013/06/10,8.5,Series E,Ascension Ventures;Baxter Ventures,267.4,267.4,8913.333333,8913.333333,North America,,Medical Devices;Pharma Startups;Eye Health,,60,0,0.45,,,@OCUTX
Odyssey HealthCare,http://www.odyssey-healthcare.com,Odyssey owns and operates hospice programs. The company has gone public.,Oak Investment Partners;Public;Three Arch Partners;Undisclosed Venture Investors,16.5,Healthcare,Medical Facilities & Services,,United States,Texas,Dallas,214-922-9711,info@odsyhealth.com.,Yes,IPO,2002/04/19,Series D,1998/07/01,5,Series D,Undisclosed Venture Investors,28.591994,28.591994,,,North America,,,,,,,,,
Okta,http://www.okta.com,"Okta, fka SaaSure, is an integrated identity management and mobility management service that securely and simply connects people to their applications from any device, anywhere, at any time. Okta gives Enterprise IT teams the ability to improve the end-user experience, while achieving the management control necessary to accelerate the secure adoption of cloud and mobile technologies. The result is greater employee and partner productivity, increased revenue and supply chain efficiency, and improved compliance.",Altimeter Capital;Andreessen Horowitz;Avid Larizadeh;Dharmesh Shah;Ed Roberts;Floodgate;Glynn Capital Management;Greylock Partners;Janus Capital Group;Khosla Ventures;Maynard Webb;Public;Sequoia Capital;Stephen Marcus;SV Angel;Tom Berson;Undisclosed Venture Investors;Webb Investment Network,229.25,Internet,Internet Software & Services,Monitoring & Security,United States,California,San Francisco,888-722-7871,info@okta.com,Yes,IPO,2017/04/07,Series F,2015/09/08,75,Series F,Altimeter Capital;Greylock Partners;Glynn Capital Management;Sequoia Capital;Andreessen Horowitz;Khosla Ventures,1540,1540,,,North America,,cybersecurity;future unicorns;RSA Exhibitors 2016;Identity Mangment;Smart Money VCs;Tech IPO Pipeline 2017;Enterprise SaaS,750,15946,2.09,6.57,-22.00%,133.00%,@okta
Omeros Corporation,http://www.omeros.com,"Omeros is a clinical-stage biopharmaceutical company committed to discovering, developing and commercializing products focused on inflammation, coagulopathies and disorders of the central nervous system. The company's most clinically advanced product candidates are derived from its PharmacoSurgery platform designed to improve clinical outcomes of patients undergoing arthroscopic, ophthalmological, urological and other surgical and medical procedures. Leveraging clinical development experience and expertise in inflammation and the central nervous system, the company has built multiple development programs targeting large markets. By combining late-stage PharmacoSurgery product candidates with this deep and diverse pipeline of preclinical development programs, Omeros creates multiple opportunities for commercial success.",ARCH Venture Partners;Novartis Venture Funds;Public;Stanley Medical Research Institute;The Grosvenor Funds;Trevi Health Ventures;Undisclosed Investors;Undisclosed Venture Investors;Venture Associates;Vulcan Capital;WRF Capital,78.57,Healthcare,Biotechnology,,United States,Washington,Seattle,206-676-5000,,Yes,IPO,2009/10/10,Unattributed VC,2009/01/29,3.1,Venture Capital,Undisclosed Investors,212.87,212.87,,,North America,,Eye Health;Neuroscience Startups,,,,,,,
Omnicell,http://www.omnicell.com,"Omnicell (NASDAQ: OMCL) is a provider of medication and supply management solutions and adherence tools to healthcare systems and pharmacies. As a leader in medication and supply dispensing automation, central pharmacy automation, IV robotics, analytics software, and medication adherence and packaging systems, Omnicell is focused on improving care across the entire healthcare continuum - from the acute care hospital setting, to post-acute skilled nursing and long-term care facilities, to the patient's home.",ABS Capital Partners;Ascension Ventures;Nassau Capital;Oak Investment Partners;Public;Sutter Hill Ventures;Undisclosed Venture Investors,59.3,Healthcare,Medical Devices & Equipment,Patient Monitoring,United States,California,Mountain View,650-251-6100,info@omnicell.com,Yes,IPO,2001/08/07,Unattributed VC,2000/02/21,20,Venture Capital,Sutter Hill Ventures;ABS Capital Partners;Nassau Capital,144.78,144.78,,,North America,,Medical Devices,,1994,0.09,1.28,18.00%,67.00%,@Omnicell
OnDeck Capital,http://www.ondeck.com,"OnDeck Capital uses data aggregation and electronic payment technology to evaluate the financial health of small businesses and to efficiently deliver capital to a market underserved by traditional bank loans. Through the OnDeck Capital platform, small businesses can obtain affordable loans to meet daily operating and long term goals. The company's platform looks deeper into the health of small businesses, focusing on the overall business performance, rather than the owner's personal credit history. The OnDeck system also provides a critically needed mechanism for commercial institutions to efficiently reach and serve the historically underserved Main Street small businesses market.",Contour Venture Partners;Deutsche Bank;First Round Capital;Fortress Investment Group;Foundation Capital;Goldman Sachs;Google Ventures;Industry Ventures;Institutional Venture Partners;KeyCorp;Khosla Ventures;Lighthouse Capital Partners;Peter Thiel;Public;RRE Ventures;Sapphire Ventures;SF Capital Group;Square 1 Bank;Tiger Global Management;Village Ventures,394,Internet,Internet Software & Services,Accounting & Finance,United States,New York,New York,888-269-4246,info@ondeckcapital.com,Yes,IPO,2014/12/17,Series E,2014/03/06,77,Series E,Google Ventures;Sapphire Ventures;First Round Capital;RRE Ventures;Peter Thiel;Foundation Capital;Institutional Venture Partners;Tiger Global Management,1323.21,1323.21,20.35707692,20.35707692,North America,,Fin tech ( Fintech );Smart Money VCs;Money 20/20 Vegas;Alternative Lending Startups;Enterprise SaaS;SMB Fintech,,17868,0.78,10.3,190.00%,79.00%,@OnDeckCapital
OncoGenex Pharmaceuticals,http://www.oncogenex.com,OncoGenex Pharmaceuticals (NASDAQ: OGXI) is a biopharmaceutical company committed to the development and commercialization of new therapies that address treatment resistance in cancer patients.,BC Advantage Funds;BDC Healthcare Venture Fund;GrowthWorks;H.I.G. BioHealth Partners;Milestone Medica;Public;Qwest Communications;Research Corporation Technologies;Ventures West;William Harris Investors,15.05,Healthcare,Biotechnology,,United States,Washington,Bothell,425-686-1500,,Yes,IPO,2005/09/09,Series B,2005/08/18,12.8,Series B,Ventures West;BDC Healthcare Venture Fund;BC Advantage Funds;GrowthWorks;Milestone Medica;William Harris Investors;H.I.G. BioHealth Partners;Qwest Communications,34.887795,34.887795,,,North America,,BIO 2016;Pharma Startups;Cancer Therapeutics,,,,,,,
Oncternal Therapeutics,http://www.oncternal.com,"Oncternal Therapeutics is a clinical-stage oncology company developing therapies for both rare and common cancers by focusing on targets that are uniquely expressed within cancer cells. The company is advancing its two pipeline products, cirmtuzumab, an-anti ROR1 monoclonal antibody, and TK216, a small molecule that inhibits the biological activity of ets-family transcription factor oncoproteins.",GTX Medical;Hale BioPharma Ventures;JLabs;Undisclosed Angel Investors;Undisclosed Investors,56.77,Healthcare,Biotechnology,,United States,California,San Diego,858-434-1113,info@oncternal.com,Yes,Reverse Merger,2019/03/07,Series C,2018/11/21,17,Series C,Hale BioPharma Ventures,36.264382,36.264382,,,North America,,Pharma Startups;Cancer Therapeutics,,,,,,,
Ooma,http://www.ooma.com,"Ooma offers consumer and business products that provide free and low-cost U.S. and Canadian telephone calling and advanced cloud-based telephony services to its global base of customers. The Ooma Mobile HD app allows customers to make U.S. and international calls from their iPhone, iPad and iPod touch devices.",CCP LLC;Draper Richards;Excel Venture Management;Founders Fund;MMV Financial;Public;Sean Parker;TDF Ventures;Threshold Ventures;Undisclosed Investors;Voyager Capital;WI Harper Group;Worldview Technology Partners,78.4,Mobile & Telecommunications,Telecom Services,VoIP,United States,California,Palo Alto,650-566-6600,info@ooma.com,Yes,IPO,2015/07/17,Unattributed - II,2015/05/08,5.12,Undisclosed,Undisclosed Investors,218.77,218.77,11.02115869,11.02115869,North America,,CES 2016;Smart Money VCs;CES 2017 Exhibitors;CES 2018 Exhibitors,,4252,1.5,2126,1100.00%,50.00%,@ooma_status
OpGen,http://www.opgen.com,"OpGen is engaged in microbial genome analysis. The company's Optical Mapping system has been used by academic and commercial organizations worldwide for applications including comparative genomics and genome sequence assembly/validation. It is a particularly powerful method for detecting the insertions, deletions and translocations responsible for most variation in microorganisms and aims to provide an exquisitely sensitive method for identifying unknown organisms from clinical samples. The company is now developing diagnostic systems for the clinical microbiology marketplace.",180 Degree Capital;Ampersand Capital Partners;CHL Medical Partners;Cross Creek Advisors;Evan Jones;Golden Angels Network;Highland Capital Partners;In-Q-Tel;jVen Capital;Mason Wells;MGE Innovation Center;Public;State of Ohio;State of Wisconsin Investment Board;Stonehenge Capital;Undisclosed Investors;Undisclosed Venture Investors;Versant Ventures;Wisconsin Alumni Research Foundation,84.15,Healthcare,Biotechnology,,United States,Maryland,Gaithersburg,301-869-9683,customersupport@opgen.com,Yes,IPO,2015/05/05,Debt - IV,2015/02/23,1.24,Debt,Undisclosed Investors,64.31,64.31,15.6092233,15.6092233,North America,,Digital Health;Genomics,,,,,,,
Openwave Systems,http://www.openwave.com,"Openwave Systems (Nasdaq: OPWV) is a global software provider and the inventor of the mobile internet. The company has built a patent portfolio of  patents spanning smart devices, cloud technologies and unified messaging. Openwave provides all-Internet Protocol (all-IP) mediation and messaging solutions that enable communication service providers to create and deliver smarter services.",ABN AMRO Bank;AsiaTech Management;Bell Mobility Investments;BNP Paribas Private Equity;Greylock Partners;Hikari Tsushin;Iris Capital;ITOCHU Techno-Solutions;JK&B Capital;Kuang Hwa Investment Holding;Kyocera Corporation Investment Arm;Lightspeed Venture Partners;Matrix Partners;next47;Nexus Group;Public;Qualcomm Ventures;Royal Veterinary College;Sienna Ventures;Sofinnova Ventures;Undisclosed Investors;Undisclosed Venture Investors;Verizon Communications,69.81,Mobile & Telecommunications,Mobile Software & Services,Browser Software/Plugins,United States,California,Redwood City,650-480-8000,,Yes,IPO,1999/06/18,Unattributed VC - II,1999/03/19,18,Venture Capital,next47;Hikari Tsushin;Verizon Communications;Iris Capital;Bell Mobility Investments;Matrix Partners;Qualcomm Ventures;ITOCHU Techno-Solutions,488.1,488.1,,,North America,,Smart Money VCs,,804,2,2.55,-200.00%,,@openwave
